731冰室,,香港仔田灣嘉禾街27-33號地舖,$51-100,港式,茶餐廳/冰室,,9,
鑑記車仔麵,,香港仔華富道15號華富邨華安樓地下112號舖,$50以下,車仔麵,港式,,9,
美雅餅店,,香港仔田灣街2號地下B舖,$50以下,港式,麵包店,,3,
好運粥粉麵家,,香港仔嘉禾街22號地舖,$50以下,港式,雲吞/餃子,,6,
祥發茶餐廳,,香港仔嘉禾街14-22號嘉和大廈A座地下4A號舖,$50以下,港式,茶餐廳/冰室,,5,
孖寶美食記,,香港仔西安街5號D,$50以下,港式,小食店,,6,
美心西餅 Maxim's Cake Shop,,香港仔港鐵海洋公園站2號舖,$50以下,港式,麵包店,(1 食評),8,
有記粉麵廠 Yau Kee Noodles,,香港仔香港仔大道171號金豐大廈地下N號舖,$50以下,港式,粉麵/米線,,34,
凱施餅店 Hoixe Cake Shop,,香港仔東勝道17號地舖,$50以下,港式,麵包店,,8,
英記飯店,,香港仔田灣興和街11號田灣街市熟食中心2樓7-8號舖,$51-100,港式,粵菜 (廣東),,7,
肥常餐廳,,香港仔嘉禾街13號地舖,$50以下,港式,快餐店,,32,
蘇記茶檔,,香港仔深灣珍寶王國4樓,$50以下,港式,粉麵/米線,,8,
太興 Tai Hing (已搬遷),17.0,香港仔南寧街6-12號香港仔中心第5期地下A號舖,$51-100,港式,燒臘,(43 食評),118,
永發外賣快餐店 (已搬遷),2.0,香港仔華貴村華貴街市5號,$50以下,車仔麵,港式,(2 食評),6,
炳記麵家 Ping kee restaurant (已搬遷),4.0,香港仔田灣街1號地下,$50以下,港式,粉麵/米線,(5 食評),13,
茶木‧台式休閒餐廳 TeaWood Taiwanese Cafe & Restaurant,14.0,香港仔南寧街ac5 1樓E號舖,$51-100,台灣菜,甜品/糖水,(46 食評),283,
富臨皇宮 Fulum Palace,10.0,香港仔南寧街ac3 1樓,$101-200,粵菜 (廣東),點心,(13 食評),147,
