place,mag,time
"40km W of Hengchun, Taiwan",4.2,1380484240090
"28km NE of Taitung City, Taiwan",4,1378854925350
"26km WSW of Hengchun, Taiwan",4.4,1378202101130
"12km SSW of Hengchun, Taiwan",4.3,1377833105650
"12km SE of Buli, Taiwan",4.2,1377355603470
"72km E of Hengchun, Taiwan",4.1,1376656560730
"12km S of Hualian, Taiwan",4.3,1374680472380
"11km S of Hualian, Taiwan",4.5,1374679933940
"11km S of Hualian, Taiwan",5,1374677224940
Taiwan,4.2,1374347986060
"33km NNW of Hualian, Taiwan",5.2,1373969495280
"31km NW of Taitung City, Taiwan",4.4,1373829869460
"25km SE of Buli, Taiwan",6.2,1370151783460
"68km E of Hengchun, Taiwan",4.7,1370118742800
"15km SE of Hualian, Taiwan",4.3,1369883681680
"35km SSW of Su'ao, Taiwan",4.1,1369122032090
Taiwan,4.5,1369110346200
Taiwan,4.6,1368769452500
"80km E of Hengchun, Taiwan",4.5,1366499378740
Taiwan,4.4,1364355002160
"29km ESE of Buli, Taiwan",5.9,1364349799820
Taiwan,4.2,1363764121450
Taiwan,4.6,1363528400120
Taiwan,4.4,1363079025700
"40km NNW of Hualian, Taiwan",4.4,1362643641970
Taiwan,4.2,1362643034810
"36km NNW of Hualian, Taiwan",5.5,1362627406090
"33km ENE of Taitung City, Taiwan",4.3,1362386541620
"32km N of Hualian, Taiwan",4.7,1361471757040
"38km NNW of Hualian, Taiwan",4.3,1361471588000
"61km NE of Taitung City, Taiwan",4,1361373627270
Taiwan,4.4,1361256760360
"18km SE of Jiayi Shi, Taiwan",4.5,1361239965900
"36km NNW of Hualian, Taiwan",4.7,1361064727680
"14km NNW of Hualian, Taiwan",4.1,1360151898500
"43km ESE of Hualian, Taiwan",5.2,1359776392450
"11km E of Hualian, Taiwan",4.6,1357236484910
Taiwan,4.4,1357128107130
Taiwan,4.5,1356940303690
Taiwan,4.8,1356883406250
Taiwan,4.5,1356779186930
Taiwan region,4.2,1356319071900
Taiwan,4.6,1356243185330
Taiwan region,4.4,1356146674170
Taiwan,4.4,1355221924000
Taiwan,4.9,1354477410370
Taiwan,5,1354470337180
Taiwan region,4.5,1354158771780
Taiwan region,5.2,1353431339790
Taiwan region,4.3,1352577557280
Taiwan,4.3,1352122829020
Taiwan,4.5,1351929989900
Taiwan,5,1351161079180
Taiwan,4.3,1350111636370
Taiwan region,4.5,1348523855550
Taiwan region,5,1346788817530
Taiwan,4.8,1346415836300
Taiwan,4.6,1346415103510
Taiwan region,4.4,1346250253750
Taiwan,4.7,1345234801970
Taiwan,4.6,1345138862550
Taiwan,4.6,1344941743130
