,Subject,Link
235,Pakistan Studies,https://guides.library.columbia.edu/sasia-pakistan
236,"Patents, Technical Reports, and Standards",https://guides.library.columbia.edu/patents-techreports-standards
237,PhD Candidates in Business and Economics,https://guides.library.columbia.edu/phd
238,Philosophy,https://guides.library.columbia.edu/PHIL
239,Photography: Guide to Research,https://guides.library.columbia.edu/photography
240,Physical Anthropology & Primatology Research Guide,https://guides.library.columbia.edu/physical-anthropology
241,Physics and Astronomy Research Guide,https://guides.library.columbia.edu/PHYS
242,Physics and Astronomy Research Guide,https://guides.library.columbia.edu/ASTR
243,Physics and Astronomy Research Guide,https://guides.library.columbia.edu/physics-astronomy
244,Political Science,https://guides.library.columbia.edu/polisci
245,Political Science Research Guide,https://guides.library.columbia.edu/POLS
246,"Polling, Surveys, & Public Opinion",https://guides.library.columbia.edu/c.php?g=380546
247,"Population, Migration and Refugee Studies",https://guides.library.columbia.edu/migration
248,Printing in Watson Library,https://guides.library.columbia.edu/printing
249,Program In Economic Policy Management: Research Guide,https://guides.library.columbia.edu/PEPM
250,Psychology Research Guide,https://guides.library.columbia.edu/Psychology
251,Psychology Research Guide for Courseworks,https://guides.library.columbia.edu/PSYC
252,Public Affairs: Research Guide,https://guides.library.columbia.edu/PUAF
253,Publications of Intergovernmental Organizations (IGOs),https://guides.library.columbia.edu/igo
254,Pulitzer Collections,https://guides.library.columbia.edu/pulitzer
255,Quantitative Methods in the Social Sciences,https://guides.library.columbia.edu/QMSS
256,R for Statistical Analysis,https://guides.library.columbia.edu/Rstats
257,Real Estate Research Guide,https://guides.library.columbia.edu/realestate
258,Real Estate: Basic Resources for Research,https://guides.library.columbia.edu/real-estate-avery
259,Religious Studies Course Guide,https://guides.library.columbia.edu/RELI
260,Religious Studies Research Guide,https://guides.library.columbia.edu/religious-studies
261,Religious Worlds of New York,https://guides.library.columbia.edu/ReligiousWorlds
262,Reporting on Ethnic Communities,https://guides.library.columbia.edu/journalism-ethnic
263,Reporting on Ethnic Communities Course Guide,https://guides.library.columbia.edu/JOUR-J6001-002
264,Reporting on NYC Neighborhoods,https://guides.library.columbia.edu/journalism-nyc
265,Reporting on Religion,https://guides.library.columbia.edu/JOUR-RELIGION-TBA
266,Reporting on Transportation,https://guides.library.columbia.edu/JOUR-J6001-015
267,Research Guides by Topic,https://guides.library.columbia.edu/topics
268,Researching Health Policy Legislation,https://guides.library.columbia.edu/sw/healthpolicy
269,Resources for Biblical Languages,https://guides.library.columbia.edu/BiblicalLanguages
270,Resources for CJS Alumni,https://guides.library.columbia.edu/journalism-alumni
271,Resources for Faculty,https://guides.library.columbia.edu/facultyresources
272,Resources for Political Science Majors,https://guides.library.columbia.edu/poliscimajors
273,Seminar on Policy Practice I,https://guides.library.columbia.edu/SOCW-T7143
274,Social Movements & Citizenship in Africa (REGN U6410),https://guides.library.columbia.edu/REGN-U6410-001
275,Social Work Library Agency Collection,https://guides.library.columbia.edu/sw/swagency
276,Social Work Library Agency Collection,https://guides.library.columbia.edu/swagency
277,Social Work Reference Materials,https://guides.library.columbia.edu/sw/reference
278,Sociology,https://guides.library.columbia.edu/sociology
279,Sociology Research Guide,https://guides.library.columbia.edu/SOCI
280,Software available in Watson Library,https://guides.library.columbia.edu/software
281,South Asian Epics,https://guides.library.columbia.edu/sasia-epics
282,Southeast Asia,https://guides.library.columbia.edu/seasia
283,Sports Management,https://guides.library.columbia.edu/sportsmanagement
284,Sri Lanka,https://guides.library.columbia.edu/sasia-srilanka
285,Statistics Research Guide,https://guides.library.columbia.edu/STAT
286,Strategic Communication,https://guides.library.columbia.edu/StrategicCommunication
287,Strategic Communications,https://guides.library.columbia.edu/stratcomm
288,Studio-X Global Network,https://guides.library.columbia.edu/studio-x
289,Sustainability Policy Studies,https://guides.library.columbia.edu/sustainability-policy
290,Sustainable Development Research Guide,https://guides.library.columbia.edu/SDEV
291,"Swahili Language and Culture Acquisitions at Columbia, 1979-2017",https://guides.library.columbia.edu/swahilibib
292,The American Graphic Novel,https://guides.library.columbia.edu/AMSTUN3630
293,The Budget Process,https://guides.library.columbia.edu/usgd/budget
294,The European Union,https://guides.library.columbia.edu/c.php?g=401689
295,The Legislative Process,https://guides.library.columbia.edu/usgd/legislative
296,The Maldives,https://guides.library.columbia.edu/sasia-maldives
297,The Novel in Africa,https://guides.library.columbia.edu/MDES-GU4122-001
298,The Novel in Africa,https://guides.library.columbia.edu/novel-in-Africa
299,The Regulatory Process,https://guides.library.columbia.edu/usgd/regulatory
300,Theatre and Dance Studies,https://guides.library.columbia.edu/THEA
301,Theories of International Relations: Research Guide,https://guides.library.columbia.edu/POLS-W3218-001
302,Third World Security Issues: Research Guide,https://guides.library.columbia.edu/INAF-U6416
303,Tibetan Civilization CourseWorks Guide,https://guides.library.columbia.edu/ASCE-V1375
304,Tibetan Manuscript Studies: A Research Guide,https://guides.library.columbia.edu/TIBT-W2413-001
305,Tibetan Sacred Space Research Guide,https://guides.library.columbia.edu/EARL-W4312-001
306,Tibetan Studies Introductory Research Guide,https://guides.library.columbia.edu/tibetan
307,U.S. Foreign Policy,https://guides.library.columbia.edu/foreignpolicy
308,United Nations Resources,https://guides.library.columbia.edu/un
309,University Writing CC1010,https://guides.library.columbia.edu/ENGL-C1010
310,University Writing GS1010,https://guides.library.columbia.edu/ENGL-F1010
311,University Writing S1010,https://guides.library.columbia.edu/ENGL-S1010
312,Urban Planning,https://guides.library.columbia.edu/PLAN
313,Urban Planning: Basic Resources for Research,https://guides.library.columbia.edu/urban-planning
314,Using American FactFinder (AFF),https://guides.library.columbia.edu/census-aff
315,W.K.W. Endowment Fund,https://guides.library.columbia.edu/WKWendowment
316,West & Luhby: Reporting,https://guides.library.columbia.edu/JOUR-J6001-009
317,Western European History since 1450,https://guides.library.columbia.edu/europe
318,Wolof Language and Culture Acquisitions at Columbia,https://guides.library.columbia.edu/wolof-language
319,Women in Development,https://guides.library.columbia.edu/womendev
320,Women in the Black Freedom Movement: Using Archives,https://guides.library.columbia.edu/AzaranskyWomenBlackFreedomMovement
321,"Women, Gender and Sexuality Studies",https://guides.library.columbia.edu/women-gender-sexuality
322,"Women, Gender, and Sexuality",https://guides.library.columbia.edu/WMST
323,Workshop in Development Practice,https://guides.library.columbia.edu/development-practice
324,Workshop in Development Practice (SIPA U9001-001),https://guides.library.columbia.edu/SIPA-U9001-001
325,Workshop in Development Practice (SIPA U9001-002),https://guides.library.columbia.edu/SIPA-U9001-002
326,Writing Women in Medieval France and England,https://guides.library.columbia.edu/CLFR-W3617-001
327,Zulu Language and Culture Acquisitions at Columbia,https://guides.library.columbia.edu/zulu-language
