name,location,price,country,type,likes,review,bookmark,discount_info
Three on Canton,尖沙咀廣東道13號海港城港威酒店3樓,$401-800,多國菜,自助餐,132.0,(233 食評),25467,全單75折
尚上下夏 - 養生雞煲火鍋 JKJ POT,尖沙咀山林道23號地下,$101-200,港式,火鍋,211.0,(249 食評),11497,送 25里數 / 30積分
醉胡爐 Wulu Restaurant,尖沙咀柯士甸路20號保發商業大廈地舖,$201-400,港式,火鍋,218.0,(241 食評),5992,訂座及二人同行每位惠顧滿$200或以上免費送火焰龍蝦海鮮火鍋
BriKetenia,觀塘成業街10號電訊一代廣場1樓B1號舖,$201-400,法國菜,法國菜,162.0,(208 食評),9247,送 25里數 / 30積分
El Cerdo,荃灣大壩街77號地舖,$201-400,西班牙菜,西班牙菜,155.0,(186 食評),5199,餐廳優惠月: 網上訂座以低至$68享Tapas 套餐
Bella Shine,觀塘巧明街114號迅達工業大廈2樓B室,$101-200,日本菜,拉麵,195.0,(221 食評),3933,送 25里數 / 30積分
養心殿台式養生鍋,佐敦吳松街182號榮國中心2樓,$201-400,台灣菜,火鍋,170.0,(193 食評),4995,送 25里數 / 30積分
千賀水產 Ten Million Japanese Restaurant,元朗西裕街達輝徑1號足彬大廈1號地舖,$101-200,日本菜,日式放題,191.0,(245 食評),10692,全單88折
The Point,銅鑼灣登龍街52號地舖,$101-200,意大利菜,薄餅,170.0,(246 食評),10333,送 25里數 / 30積分
OM Tapas,尖沙咀棉登徑1號地舖,$201-400,西班牙菜,酒,130.0,(155 食評),7285,餐廳優惠月: 網上訂座星期日至四晚市時段可以$88享Tapas 套餐
小漁港海鮮舫 鮮蒸‧鮮味火鍋 Seafood Port Restaurant,太子荔枝角道127-133號地下,$201-400,港式,火鍋,159.0,(204 食評),12246,送 25里數 / 30積分
Amitie Kitchen,尖沙咀亞士厘道27號捷利商業大廈8樓,$101-200,意大利菜,扒房,179.0,(209 食評),7163,送 25里數 / 30積分
鮨心 Kokoro Sushi,旺角彌敦道703-705號金鑽璽1樓(快富街入口),$201-400,日本菜,壽司/刺身,188.0,(221 食評),9007,指定時間訂座享85折優惠
阿爺粥品手工涮涮鍋 Grandpa's Porridge Shabu Shabu,荃灣沙咀道328號328廣埸地下5號舖,$201-400,粵菜 (廣東),火鍋,164.0,(226 食評),7076,送 25里數 / 30積分
火鍋英雄 Hot Pot Hero,銅鑼灣駱克道491-499號京都廣場三樓,$201-400,川菜 (四川),火鍋,152.0,(169 食評),4377,送 25里數 / 30積分
Manecy's Studio Restaurant,銅鑼灣駱克道447-449號中威商業大廈1樓,$101-200,德國菜,西班牙菜,174.0,(222 食評),10870,送 25里數 / 30積分
Gioia Charcoal Grill & Oyster Bar,西環堅尼地城吉席街55-57號美新大廈地下A-C舖,$201-400,多國菜,海鮮,172.0,(195 食評),4556,午市套餐特惠
Brunch Club & Supper,銅鑼灣禮頓道13號1樓,$101-200,英國菜,All Day Breakfast,189.0,(287 食評),25628,提供網上訂座
緣聚西日餐廳 Together,元朗西裕街5-11號金福閣地庫,$101-200,日本菜,自助餐,215.0,(273 食評),13554,提供網上訂座
極上帝王水產,旺角西洋菜街1號兆萬中心9樓,$201-400,日本菜,壽司/刺身,283.0,(358 食評),5297,送 25里數 / 30積分
魔膳廚房 MS KITCHEN,觀塘開源道77號業發大廈一期2樓D室,$101-200,西式,甜品/糖水,276.0,(314 食評),8574,8折，8折！於午市2點後入座8折優惠(其他優惠不能同時使用)
Ulyssa by Aldou,荔枝角長沙灣道883號億利工業中心2樓203室,$101-200,西式,咖啡店,148.0,(168 食評),3816,訂座送即開生蠔（歡迎自帶酒水，免收開瓶費）
原の味 Naked,尖沙咀麼地道61號冠華中心地下G1號舖,$201-400,日本菜,壽司/刺身,147.0,(172 食評),4154,正價85折 主菜餐牌 原之味主餐牌
鳴橋燒肉料理,旺角砵蘭街104號,$101-200,日本菜,壽司/刺身,198.0,(254 食評),6867,送 25里數 / 30積分
龍麵館 Dragon Noodles Academy,中環德輔道中68號萬宜大廈萬宜廊地下G04號舖,$201-400,粵菜 (廣東),粉麵/米線,115.0,(184 食評),12818,送 25里數 / 30積分
信州日本料理 Shin Shu Japanese,西環堅尼地城爹核士街1號裕福大厦地下5號舖,$201-400,日本菜,壽司/刺身,171.0,(189 食評),4237,送 25里數 / 30積分
吞POT 雞煲火鍋.住家菜 Lazy Pot,油麻地彌敦道560號譽發廣場22樓,$101-200,港式,火鍋,135.0,(147 食評),3715,每晚9:30後所有火鍋配料及小食均有半價優惠
616牛肉火鍋專門店,元朗西菁街9號富盛大廈地下95-100號舖,$101-200,港式,火鍋,145.0,(169 食評),4342,送 25里數 / 30積分
NINETYs,灣仔皇后大道東222號地下2號舖,$201-400,西式,咖啡店,114.0,(147 食評),10948,全單7折
Y Show Tasty,尖沙咀厚福街8號H8 12樓,$101-200,西式,西式,133.0,(150 食評),3292,午市4人同行，1人免費
Mango Tree,尖沙咀柯士甸道西1號圓方(Elements)2樓2032號舖,$201-400,泰國菜,無肉餐單,138.0,(264 食評),13712,訂座享High Tea Set 85折優惠
滿屋日本料理 Manya Japanese Restaurant,荃灣眾安街55號大鴻輝(荃灣)中心10樓,$201-400,日本菜,日式放題,216.0,(306 食評),5063,晚市放題 $193
Lily & Bloom,中環蘭桂坊雲咸街33號LKF Tower 5樓及6樓,$401-800,美國菜,蠔吧,159.0,(215 食評),15174,提供網上訂座
喜來稀肉 Seorae,尖沙咀金巴利道79-81號金栢閣1樓連地下,$101-200,韓國菜,烤肉,116.0,(191 食評),18218,提供網上訂座
雅高·33 Artco． 33,荃灣沙咀道328號寶石大廈地下21號舖,$51-100,意大利菜,酒,155.0,(210 食評),3554,送 25里數 / 30積分
Harlan's,尖沙咀彌敦道100號The ONE 19樓,$401-800,多國菜,浪漫情調,151.0,(265 食評),30266,提供網上訂座
The Food Gallery,尖沙咀北京道8號香港朗廷酒店大堂,$401-800,西式,自助餐,102.0,(192 食評),26431,自助午餐網上訂座7折優惠
胡爐 Wulu,尖沙咀厚福街8號H8 16樓,$201-400,港式,火鍋,163.0,(182 食評),5258,訂座及二人同行每位惠顧滿$200或以上免費送「火焰龍蝦海鮮火鍋」
La Postre,尖沙咀厚福街8號H8地下,$201-400,西班牙菜,甜品/糖水,129.0,(161 食評),6364,全單9折
Gastrobox the Cameron,尖沙咀金馬倫道33號 The Cameron 1樓101號舖,$101-200,意大利菜,海鮮,115.0,(185 食評),15532,送 25里數 / 30積分
逸之燒 Ichi Grill Shabu Shabu,元朗鳳攸南街9號好順利大廈2座商場地下 57 號舖,$201-400,日本菜,火鍋,120.0,(136 食評),4565,送 25里數 / 30積分
Aldou Cafe,元朗馬田路38號怡豐花園3號地舖,$101-200,多國菜,甜品/糖水,122.0,(143 食評),8590,訂座送白酒忌廉藍青口一份
BOM Cuisine,長沙灣青山道441號地舖,$51-100,葡國菜,酒,119.0,(136 食評),4034,下午七點半前離座八五折優惠
Chez Bistro,銅鑼灣耀華街3號百樂中心21樓,$201-400,西式,西餐廳,165.0,(175 食評),5099,開業兩周年訂座享全單85折優惠
野玩田店 Something Wild - The Farm,尖沙咀河內道18號K11購物藝術館2樓201號舖,$101-200,西式,薄餅,87.0,(141 食評),10877,提供網上訂座
Lava Java 咖啡西餐廳 Lava Java Cafe & Restaurant,觀塘開源道71號王子大廈5樓B室,$101-200,西式,漢堡包,159.0,(202 食評),6084,晚市9折優惠 (加一前消費滿$600)
BRICK LANE,金鐘添美道1號中信大廈4樓404號舖,$101-200,英國菜,甜品/糖水,139.0,(178 食評),7976,送 25里數 / 30積分
白石燒烤 Whitehead Barbecue,馬鞍山馬鞍山白石第1950號,$101-200,港式,燒烤,148.0,(175 食評),2663,送 25里數 / 30積分
卡莎338 Casa 338,長沙灣東京街50號地舖,$51-100,西式,酒,134.0,(171 食評),4208,早場75折優惠
