Name,Location,Price,Region,Style,Likes
慢煮工業 Under Vacuum The Steak,太子太子道西91號地舖,$51-100,越南菜,串燒,255
Vision 8,荃灣兆和街34號永安樓地舖,$201-400,西式,三文治,319
慢煮工業 The Hangout by Under Vacuum,太子白楊街15-19號萬安大樓地下及1樓,$101-200,意大利菜,西式,311
OPPA韓國燒肉店 OPPA Korean Restaurant,大埔舊墟直街4-20號美新大廈地下B2舖,$101-200,多國菜,酒,300
悠蔬食 Leisurely Veggie,銅鑼灣渣甸街50號渣甸中心25樓,$101-200,韓國菜,海鮮,235
麻辣派對 Chili Party,銅鑼灣記利佐治街1號金百利廣場4樓R1號舖,$101-200,多國菜,素食,236
Odelice!,灣仔蘭杜街2號地下9號舖,$101-200,川菜 (四川),中菜館,266
Lo Spazio,銅鑼灣恩平道42號亨利中心7樓,$201-400,法國菜,法國菜,247
靚煲皇 Supreme Hot Pot,旺角塘尾道18號嘉禮大廈地舖,$101-200,意大利菜,海鮮,278
九重鮮 Steam Fresh,紅磡黃埔新天地聚寶坊(第11期)地下G26號,$101-200,港式,火鍋,285
磯野水產 Isono Suisan,銅鑼灣軒尼詩道525號澳門逸園中心19樓,$201-400,韓國菜,火鍋,223
新麻蒲 BBQ Shin Mapo BBQ,銅鑼灣波斯富街24-30號寶漢大廈2樓,$101-200,日本菜,海鮮,208
雅 ‧悠蔬食 Leisurely Veggie,尖沙咀金馬倫道48號中國保險大廈3樓B號舖,$101-200,粵菜 (廣東),火鍋,197
鱈卵屋 Tararan-ya,銅鑼灣軒尼詩道499號永光商業大廈14樓,$201-400,多國菜,素食,257
正宗水上人氣鍋專門店 Boat Dweller Steam Hot Pot Specialist,旺角砵蘭街196號地下,$201-400,日本菜,壽司/刺身,260
蝦棧 Shrimp Kitchen,太子花園街233-235號偉雄大廈地下A舖,$201-400,粵菜 (廣東),火鍋,247
Home Sweet Home,太子基隆街13號永基樓地舖,$101-200,台灣菜,海鮮,233
圓山台灣料理 Grand Hill Taiwanese Restaurant,尖沙咀金巴利道25號長利商業大廈1及2樓,$201-400,西式,海鮮,278
BRICK LANE Gallery,尖沙咀棉登徑17-23號地下,$101-200,台灣菜,山珍海味,181
LA Creperie,銅鑼灣駱克道459-461號The L. Square 8樓,$101-200,英國菜,甜品/糖水,141
米走雞Live Running Chicken Live,觀塘興業街4號The Wave 3樓,$101-200,法國菜,甜品/糖水,168
吞POT 雞煲火鍋.住家菜 Lazy Pot,旺角彌敦道726號23樓,$101-200,港式,甜品/糖水,304
焱手工涮涮鍋 Yan Handcraft Hotpot,旺角彌敦道558-560號譽發廣場3樓,$201-400,港式,火鍋,171
養心殿台式養生鍋,荃灣眾安街55號大鴻輝(荃灣)中心17樓,$201-400,台灣菜,火鍋,160
吞POT 雞煲火鍋.住家菜 Lazy Pot,油麻地彌敦道560號譽發廣場22樓,$101-200,台灣菜,火鍋,133
Scarlett Cafe & Wine Bar,尖沙咀柯士甸路2號地舖,$201-400,港式,火鍋,92
回到味來,旺角彌敦道594-596號旺角新城3樓,$201-400,法國菜,法國菜,134
韓讚 Zzang,銅鑼灣渣甸街66號Aura on Pennington 2樓,$101-200,港式,火鍋,45
PVP,銅鑼灣謝斐道468號百達中心3樓,$101-200,韓國菜,火鍋,0
MoMo Café,西環干諾道西167號香港萬怡酒店,$201-400,西式,酒,58
The Oyster House,灣仔謝斐道154號地下C號舖,$201-400,多國菜,素食,177
DK Bar & Restaurant,尖沙咀金巴利道40號MW Plaza 2樓,$51-100,意大利菜,海鮮,37
御花園咖啡室 Cafe Rivoli,銅鑼灣怡和街88號富豪香港酒店1樓,$201-400,多國菜,酒吧,57
糖果工房 Sugar Factory Cafe,旺角登打士街36號恆威商業中心13樓,$51-100,西式,自助餐,7
Gastrobox the Cameron,尖沙咀金馬倫道33號 The Cameron 1樓101號舖,$101-200,日本菜,甜品/糖水,115
吞POT 雞煲火鍋.住家菜 Lazy Pot,旺角彌敦道726號23樓,$101-200,港式,甜品/糖水,304
焱手工涮涮鍋 Yan Handcraft Hotpot,旺角彌敦道558-560號譽發廣場3樓,$201-400,港式,火鍋,171
養心殿台式養生鍋,荃灣眾安街55號大鴻輝(荃灣)中心17樓,$201-400,台灣菜,火鍋,160
吞POT 雞煲火鍋.住家菜 Lazy Pot,油麻地彌敦道560號譽發廣場22樓,$101-200,台灣菜,火鍋,133
Scarlett Cafe & Wine Bar,尖沙咀柯士甸路2號地舖,$201-400,港式,火鍋,92
回到味來,旺角彌敦道594-596號旺角新城3樓,$201-400,法國菜,法國菜,134
韓讚 Zzang,銅鑼灣渣甸街66號Aura on Pennington 2樓,$101-200,港式,火鍋,45
