,title,like,location,price,country,style,review,bookmark,discount
81,金悅軒 Golden Cuisine,23.0,火炭坳背灣街2-12號威力工業中心地下C號舖,$50以下,粵菜 (廣東),火鍋,(36 食評),313,
82,餃子館 Dumpling Kun,12.0,天水圍天湖路1號嘉湖新北江商場地下A106號舖,$50以下,粵菜 (廣東),粉麵/米線,(29 食評),479,
83,潮庭 Chiuchow Garden,15.0,將軍澳唐德街9號將軍澳中心2樓220A及220B號舖,$101-200,中菜館,潮州菜,(32 食評),1222,
84,傲嚐 Pride Team Limited,29.0,荃灣柴灣角街83號榮興工業中心4樓409室,$201-400,粵菜 (廣東),海鮮,(53 食評),3020,
85,鴻星海鮮酒家 Super Star Seafood Restaurant,16.0,元朗朗日路8號形點二期3樓A301-A302號舖,$101-200,粵菜 (廣東),點心,(39 食評),931,
86,蘇記流心燉蛋專門店,13.0,元朗鳳攸東街9號好順意大廈A座地下15號舖,$50以下,粵菜 (廣東),甜品/糖水,(27 食評),1369,
87,沙田強記雞粥 Shatin Chicken Congee,52.0,大圍積存街12號地下,$50以下,粵菜 (廣東),粉麵/米線,(111 食評),2025,
88,海港酒家 Victoria Harbour Restaurant,13.0,天水圍天華路30號T Town South2樓S224號舖,$101-200,粵菜 (廣東),火鍋,(34 食評),436,
89,正記菜館,36.0,元朗金輝徑28號好盛洋樓地下4號舖,$51-100,粵菜 (廣東),大牌檔,(63 食評),1200,
90,鄧媽媽過橋水餃,34.0,葵芳葵富路7號葵涌廣場2樓C41號舖,$50以下,粵菜 (廣東),雲吞/餃子,(67 食評),714,
91,小肥羊 Little Sheep,15.0,荃灣眾安街55號大鴻輝(荃灣)中心20樓,$101-200,粵菜 (廣東),火鍋,(45 食評),2536,惠顧火鍋可享5人同行1人免費；10人同行2人免費
92,漁民麵館,14.0,荃灣大河道22-28號榮安大廈地下G舖,$50以下,粵菜 (廣東),粉麵/米線,(20 食評),759,
93,美心皇宮 Maxim's Palace Chinese Restaurant,11.0,沙田源禾路一號沙田大會堂平台,$101-200,粵菜 (廣東),點心,(40 食評),1147,
94,友口馥 Friendly Tasty,11.0,大埔北盛街23號瑞安樓地下3號舖,$50以下,潮州菜,小食店,(25 食評),3309,
95,季季紅風味酒家,103.0,屯門藍地大街1號,$101-200,粵菜 (廣東),燒臘,(173 食評),1861,
96,翠園 Jade Garden,10.0,太和太和路12號太和廣場第一期3樓302號舖,$101-200,粵菜 (廣東),點心,(28 食評),468,
97,素食新一代,35.0,荃灣西樓角路荃昌中心昌安商場1樓52&55號,$50以下,粵菜 (廣東),素食,(53 食評),889,
98,自家麵 Home Noodles,15.0,西貢敬民街9號高勝樓地下G1號舗,$51-100,粵菜 (廣東),拉麵,(19 食評),424,
99,美心皇宮 Maxim's Palace Chinese Restaurant,76.0,屯門屯喜路3號屯門大會堂,$101-200,粵菜 (廣東),點心,(139 食評),748,
100,潮江春 Chiuchow Garden Restaurant,18.0,上水龍琛路48號上水匯6樓601號舖,$101-200,潮州菜,點心,(26 食評),752,
101,廣東名門 Chinese Legend,46.0,屯門三聖邨三聖市場1號地下,$101-200,粵菜 (廣東),海鮮,(88 食評),1802,
102,稻香 Tao Heung,42.0,荃灣眾安街68號荃灣千色匯I期4樓A號舖,$101-200,粵菜 (廣東),火鍋,(103 食評),1412,
