name,location,price,country,style,likes,review,bookmark,discount_info
悠蔬食 Leisurely Veggie,238,銅鑼灣渣甸街50號渣甸中心25樓,$101-200,多國菜,素食,(300 食評),15314,送 25里數 / 30積分
Odelice!,270,灣仔蘭杜街2號地下9號舖,$101-200,法國菜,法國菜,(350 食評),20282,送 25里數 / 30積分
凡高廚房 Van Gogh Kitchen,396,銅鑼灣軒尼詩道451-457號勝華樓2樓B室,$201-400,意大利菜,西餐廳,(452 食評),8904,送 25里數 / 30積分
101手工涮涮鍋,268,尖沙咀厚福街9號地下,$201-400,台灣菜,火鍋,(310 食評),12220,送 25里數 / 30積分
Lo Spazio,251,銅鑼灣恩平道42號亨利中心7樓,$201-400,意大利菜,海鮮,(281 食評),9162,送 25里數 / 30積分
Amico 1890,278,旺角洗衣街24號地舖,$101-200,西式,薄餅,(386 食評),18484,送 25里數 / 30積分
Go Inside Kitchen,276,觀塘觀塘道404號時運工業大廈5樓D室,$101-200,意大利菜,西式,(332 食評),9781,送 25里數 / 30積分
Cosmos Restaurant & Bar,239,尖沙咀寶勒巷27號東滙商業大厦地舖,$101-200,西式,海鮮,(286 食評),11652,訂座可享8折優惠
The Right Place,291,尖沙咀寶勒巷17-19號地下,$101-200,多國菜,串燒,(306 食評),5915,送 25里數 / 30積分
億饍 Multi Taste,280,旺角彌敦道558-560號譽發廣場4樓,$101-200,粵菜 (廣東),湯品,(330 食評),6853,"生日快樂,免費送蛋糕(5人 以上)或白酒一支(9人以上)"
漁火海鮮刺身火鍋,277,銅鑼灣駱克道491-499號京都廣場8樓,$201-400,粵菜 (廣東),火鍋,(288 食評),7373,九點半後入座可享全單八折優惠
101手工涮涮鍋 101 Grill Bar + Hot Pot,322,銅鑼灣登龍街1-29號金朝陽中心2期29樓全層,$201-400,台灣菜,火鍋,(344 食評),10732,送 25里數 / 30積分
Mini Friday,215,旺角西洋菜南街2號銀城廣場9樓,$101-200,西式,西式糕點,(287 食評),14830,訂座可享有主餐牌食品88折及飲品半價優惠
CHOO CHOO,276,長沙灣順寧道364-368號昌暉大廈地下1號舖,$101-200,西式,甜品/糖水,(314 食評),11586,現凡使用OpenRice訂座於8:00前離座可享10%off(不包括set dinner)
i kitchen,251,觀塘巧明街106號冠力工業大廈201室,$101-200,多國菜,多國菜,(296 食評),10482,提供網上訂座
靚煲皇 Supreme Hot Pot,281,旺角塘尾道18號嘉禮大廈地舖,$101-200,港式,火鍋,(313 食評),5780,提供網上訂座
酒鍋 The Drunken Pot,287,銅鑼灣登龍街18號V Point 27樓,$201-400,粵菜 (廣東),火鍋,(344 食評),11272,晚上 10 時後入座享晚市火鍋宵夜7折優惠
平昌 Pyeong Chang,176,旺角西洋菜街1號兆萬中心13樓,$101-200,韓國菜,烤肉,(214 食評),16771,提供網上訂座
Mini Friday,231,觀塘興業街4號The Wave 3樓,$101-200,西式,西式糕點,(316 食評),10818,送 25里數 / 30積分
大喜屋日本料理 Daikiya Japanese Restaurant,337,尖沙咀彌敦道74-78號文遜大厦5樓,$201-400,日本菜,日式放題,(452 食評),24111,特選時段 85 折優惠！晚市19：30前離座及21：15後入座享有，不得與其他優惠並用，加一以原價計算
金撈老鴨湯刺身火鍋專門店 Kum Lo Hotpot,247,佐敦文昌街25-47號文昌樓地下41及43號舖,$101-200,港式,火鍋,(289 食評),11119,送 25里數 / 30積分
泰聚 Thai Gather Restaurant & Bar,233,太子花園街239號嘉慶苑地下,$101-200,泰國菜,咖喱,(259 食評),5397,15% Off
九重鮮 Steam Fresh,285,紅磡黃埔新天地聚寶坊(第11期)地下G26號,$101-200,韓國菜,火鍋,(333 食評),11021,提供網上訂座
磯野水產 Isono Suisan,226,銅鑼灣軒尼詩道525號澳門逸園中心19樓,$201-400,日本菜,海鮮,(234 食評),4029,送 25里數 / 30積分
新麻蒲 BBQ Shin Mapo BBQ,213,銅鑼灣波斯富街24-30號寶漢大廈2樓,$101-200,韓國菜,烤肉,(285 食評),12190,送 25里數 / 30積分
ROJO,230,天后炮台山木星街3號地下B舖,$201-400,西班牙菜,酒,(263 食評),5683,送 25里數 / 30積分
尚素 The Veggie,198,觀塘駿業街56號中海日升中心1樓B舖,$101-200,粵菜 (廣東),素食,(245 食評),8530,送 25里數 / 30積分
泰斗 Thai Master Restaurant & Bar,236,尖沙咀海防道38-40號中達大廈4樓全層,$201-400,泰國菜,泰國菜,(289 食評),13842,送 25里數 / 30積分
榮哥廚房私房菜,203,觀塘觀塘道436-484號官塘工業中心3期4樓L室,$201-400,粵菜 (廣東),中菜館,(224 食評),7398,送 25里數 / 30積分
滾得囍宮廷火鍋小炒 Big Boils Club,225,北角馬寶道33號馬寶學林1樓116-125號舖,$201-400,粵菜 (廣東),火鍋,(251 食評),8041,送 25里數 / 30積分
