Name,Location,Price,Region,Style,Likes
極尚大喜屋日本料理 Deluxe Daikiya Japanese Restaurant,銅鑼灣軒尼詩道489號銅鑼灣廣場一期9樓,$201-400,澳洲菜,All Day Breakfast,185
醉胡爐 Wulu Restaurant,尖沙咀柯士甸路20號保發商業大廈地舖,$201-400,日本菜,日式放題,214
BriKetenia,觀塘成業街10號電訊一代廣場1樓B1號舖,$201-400,港式,火鍋,161
Goobne Chicken,中環威靈頓街2-8號威靈頓廣場M88 5樓,$101-200,法國菜,法國菜,148
El Cerdo,荃灣大壩街77號地舖,$201-400,韓國菜,韓式炸雞,153
The Point,銅鑼灣登龍街52號地舖,$101-200,西班牙菜,西班牙菜,170
Bella Shine,觀塘巧明街114號迅達工業大廈2樓B室,$101-200,意大利菜,薄餅,193
ねずみの王冠 喫茶店 Hamsta Crown Coffee,觀塘巧明街106號冠力工業大廈15樓1501室,$51-100,日本菜,拉麵,180
OM Tapas,尖沙咀棉登徑1號地舖,$201-400,日本菜,All Day Breakfast,130
千賀水產 Ten Million Japanese Restaurant,元朗西裕街達輝徑1號足彬大廈1號地舖,$101-200,西班牙菜,酒,186
養心殿台式養生鍋,佐敦吳松街182號榮國中心2樓,$201-400,港式,火鍋,165
阿爺粥品手工涮涮鍋 Grandpa's Porridge Shabu Shabu,荃灣沙咀道328號328廣埸地下5號舖,$201-400,台灣菜,火鍋,164
火鍋英雄 Hot Pot Hero,銅鑼灣駱克道491-499號京都廣場三樓,$201-400,粵菜 (廣東),火鍋,150
鮨心 Kokoro Sushi,旺角彌敦道703-705號金鑽璽1樓(快富街入口),$201-400,川菜 (四川),火鍋,187
稻八日式火鍋炸物放題 Inahachi Shabu Shabu,大埔舊墟直街4-20號美新大廈地下A2號舖,$201-400,日本菜,壽司/刺身,194
Chic by The Oyster House,尖沙咀金馬倫道33號The Cameron 2樓,$401-800,日本菜,火鍋,173
Amitie Kitchen,尖沙咀亞士厘道27號捷利商業大廈8樓,$101-200,西式,蠔吧,175
