棋哥燒鵝餐室 Ki's Roasted Goose Restaurant,天后電氣道79-81號發昌樓地舖,$51-100,港式,粉麵/米線,26
超羣麵包西餅 Maria's Bakery,中環干諾道中23號香林大廈地下A舖,$50以下,港式,燒臘,81
上海香港麵家 Shanghai Hong Kong Noodle Shop,銅鑼灣渣甸街29號地下,$50以下,港式,麵包店,72
小肥牛火鍋活魚專門店 Calf Bone King,銅鑼灣軒尼詩道418-430號友光大廈4樓全層,$101-200,港式,粉麵/米線,23
英記麵家 Ying Kee Noodles,西環西營盤高街32號地下,$50以下,港式,漢堡包,43
雞煲,西環堅尼地城士美非路12K號士美非路市政大廈2樓熟食中心,$101-200,港式,粉麵/米線,28
胡爐 Wulu,銅鑼灣耀華街3號百樂中心3樓,$101-200,港式,火鍋,34
Kinson Burger & Bar,鰂魚涌英皇道738號樂基中心地下4號舖,$51-100,港式,火鍋,17
新桂香燒臘,柴灣柴灣道345號金源洋樓地下17號,$50以下,港式,漢堡包,43
食記餐店 Sik Kee Restaurant,鴨脷洲鴨脷洲大街42號舖,$50以下,港式,燒臘,27
翠苑甜品專家 Tsui Yuen Dessert,銅鑼灣景隆街26號地舖,$50以下,港式,小食店,19
永合成馳名煲仔飯 Wing Hop Sing,西環德輔道西360號地舖,$51-100,港式,甜品/糖水,13
陪著你走甜品 Stand By You Desserts,天后興發街62-64號美城花園大廈地下KL3號舖,$50以下,港式,港式,14
酥妃皇后 Queen Sophie,上環蘇杭街2-24號啟豐大廈地庫5號舖,$50以下,港式,甜品/糖水,12
泰昌餅家 Tai Cheong Bakery,中環擺花街35號地下,$50以下,港式,麵包店,269
榮記(東成)飯店,灣仔寶靈頓道21號鵝頸街市1樓鵝頸熟食中心CF4號舖,$51-100,港式,麵包店,68
泉昌美食 Chuen Cheong Foods,灣仔灣仔道150號D舖,$50以下,港式,粉麵/米線,35
快樂餅店 Happy Cake Shop,灣仔皇后大道東106號地下,$50以下,車仔麵,港式,112
大自然素食 Gaia Veggie Shop,銅鑼灣軒尼詩道502號黃金廣場8樓,$101-200,港式,扒房,70
明記甜品,西灣河西灣河街138號,$50以下,港式,素食,52
澤記快餐飯店,柴灣吉勝街10號熟食市場,$50以下,港式,甜品/糖水,17
糙米家 Papa Deli,北角七姊妹道14-16號地舖,$50以下,港式,港式,13
九記牛什粉麵,灣仔寶靈頓道21號鵝頸街市1樓鵝頸熟食中心8號舖,$50以下,港式,粉麵/米線,36
CheckCheckCin,銅鑼灣告士打道311號皇室堡地下G14號鋪,$50以下,車仔麵,港式,13
王林記潮州魚蛋粉麵 Wong Lam Kee Chiu Chow Fish Ball Noodles,筲箕灣筲箕灣東大街10號東寶大廈地下A號舖,$50以下,港式,湯品,59
九龍粉麵 Kowloon Noodle,灣仔謝斐道146號地下2號舖,$50以下,港式,粉麵/米線,14
四寶食堂 Soul Kitchen,天后炮台山京華道9-27號富利來商場地下45-48號舖,$50以下,港式,粉麵/米線,17
翠華餐廳 Tsui Wah Restaurant,中環威靈頓街15-19號地下至2樓,$51-100,港式,茶餐廳/冰室,160
茶狼 Cha Long,灣仔皇后大道東200號利東街地下G39號舖,$50以下,港式,無肉餐單,13
明記甜品,筲箕灣筲箕灣東大街42-52號金來大廈地下E號舖,$50以下,港式,港式,20
Deli-O,上環干諾道中168-200號信德中心2樓268A號舖,$50以下,港式,甜品/糖水,29
養心麵,銅鑼灣軒尼詩道365號地舖,$50以下,港式,快餐店,18
魚蛋佬,西灣河筲箕灣道57-87號太安樓地下A28號B舖,$50以下,港式,麵包店,21
意樂餐廳 Cafe de Itamomo,筲箕灣筲箕灣道388-414號逢源大廈地下F號舖,$50以下,港式,小食店,16
BBQ美食店,西環西營盤第三街129-133號地下B號舖,$101-200,港式,快餐店,100
誠記,西環堅尼地城士美非路12K號士美非路市政大廈2樓熟食中心,$50以下,港式,串燒,16
生龍清湯腩,銅鑼灣禮頓道21號地舖,$50以下,港式,粉麵/米線,15
德如茶餐廳,灣仔光明街2號,$50以下,港式,粉麵/米線,31
奇華餅家 Kee Wah Bakery,中環港景街1號國際金融中心1樓1018B號舖,$50以下,港式,茶餐廳/冰室,33
奇華餅家 Kee Wah Bakery,灣仔皇后大道東188號地舖,$50以下,港式,麵包店,9
鋒記小炒王,筲箕灣愛民街6至28號新利大廈地下3A舖,$101-200,港式,麵包店,29
御廚煎餅 Yu Chu Jian Bing,灣仔灣仔道181號長春大廈A舖,$50以下,港式,火鍋,13
聯華茶餐廳 Luen Wah Cafe,西環西營盤正街28號地下,$50以下,港式,甜品/糖水,44
臨記 Cameo's Kitchen,天后帆船街2-8號金殿大廈地下16號舖,$50以下,港式,麵包店,84
叁去壹點心粉麵飯 Saam Hui Yaat,西環薄扶林道11號,$50以下,港式,小食店,35
深燒酒 Midnight Wildfire,灣仔駱克道397號地下,$201-400,港式,點心,14
信記避風塘海鮮美食 Shun Kee Typhoon Shelter,銅鑼灣銅鑼灣避風塘賣水站碼頭,$201-400,港式,卡拉OK,25
媽咪雞蛋仔 Mammy Pancake,灣仔灣仔道181A至181G地下D2舖,$50以下,港式,海鮮,12
九龍城寨墨魚丸專家鮮魚湯粉麵,灣仔軒尼詩道254號地舖,$50以下,港式,小食店,16
津津茶餐廳,北角英皇道774號模範村地下,$50以下,港式,粉麵/米線,44
安利大排檔,筲箕灣筲箕灣東大街57號,$50以下,港式,粉麵/米線,39
永利威酒業有限公司 Wing Lee Wai Wines LTD,上環永樂街124號永利威大廈地下,$51-100,港式,粉麵/米線,42
香港仔一品魚蛋王,筲箕灣南安街7號A地下,$50以下,港式,酒,26
德成號,北角渣華道64號地下,$51-100,港式,粉麵/米線,106
德興隆 Tak Hing Lung,北角馬寶道1號Q地下,$50以下,港式,小食店,85
金記冰室 Kam Kee Cafe,西環堅尼地城厚和街19號順暉大廈地下4-6號舖,$51-100,港式,甜品/糖水,22
檀島咖啡餅店 Honolulu Coffee Shop,灣仔軒尼詩道176-178號地下及閣樓,$50以下,港式,茶餐廳/冰室,114
忠記粥品,中環機利文新街32-34號A舖,$50以下,港式,麵包店,30
蘇杭冰室,上環蘇杭街3號地舖,$50以下,港式,粥品,9
新森林焗之專門店 New Forest Restaurant,中環威靈頓街99號威基商業大廈地下D舖,$51-100,港式,茶餐廳/冰室,26
太安樓雞蛋仔,西灣河筲箕灣道57-87號太安樓地下A3B舖,$50以下,港式,海鮮,36
蛋香烘焙 Eggs Bakery,北角電氣道254-280號華凱大廈地下A4號舖,$50以下,港式,小食店,13
糖痴豆 Sweeties' Dessert,半山巴丙頓道1號M4B舖,$50以下,港式,甜品/糖水,52
不倒翁中日火鍋料理 Budaoweng Hotpot Cuisine,銅鑼灣勿地臣街1號時代廣場11樓1101號舖,$201-400,港式,甜品/糖水,23
南記粉麵 Nam Kee Spring Roll Noodle Co. Ltd,灣仔摩理臣山道1-3號地下,$50以下,港式,火鍋,29
蜜斗 The Noodle Hive,中環伊利近街12A號地舖,$50以下,港式,粉麵/米線,15
喝‧茶 ThirsTea,銅鑼灣禮頓道128-138號希雲大廈地下2號舖,$50以下,車仔麵,港式,13
幸運星 Lucky Star,銅鑼灣白沙道1-3號地舖,$50以下,港式,果汁,17
木糠甜品屋 Sawdust Dessert,銅鑼灣希雲街20號地下,$50以下,港式,麵包店,28
樂天皇朝 Paradise Dynasty,銅鑼灣波斯富街99號利舞臺廣場6樓,$101-200,粵菜 (廣東),多國菜,478
炊豕店,銅鑼灣加路連山道11號地下,$50以下,川菜 (四川),川菜 (四川),270
名館 Ming Bistro,銅鑼灣軒尼詩道500號希慎廣場14樓1401號舖,$101-200,粵菜 (廣東),滬菜 (上海),326
十下 SUPPA,銅鑼灣登龍街28號永光中心2樓,$101-200,台灣菜,小食店,270
名館 Ming Bistro,中環擺花街1-7號1號廣場1樓,$201-400,粵菜 (廣東),滬菜 (上海),278
麻辣派對 Chili Party,銅鑼灣記利佐治街1號金百利廣場4樓R1號舖,$101-200,粵菜 (廣東),火鍋,239
阿元來了 Yuan Is Here,西環西營盤第三街73號地舖,$51-100,粵菜 (廣東),滬菜 (上海),211
101手工涮涮鍋 101 Grill Bar + Hot Pot,銅鑼灣登龍街1-29號金朝陽中心2期29樓全層,$201-400,川菜 (四川),中菜館,322
漁火海鮮刺身火鍋,銅鑼灣駱克道491-499號京都廣場8樓,$201-400,台灣菜,台式飲品,277
唐宮小聚 Social Place,中環皇后大道中139號 The L. Place 2樓,$101-200,台灣菜,火鍋,181
一番風味 Crabtain Restaurant,灣仔灣仔道138號明豐大廈地舖,$51-100,粵菜 (廣東),火鍋,243
酒鍋 The Drunken Pot,銅鑼灣登龍街18號V Point 27樓,$201-400,粵菜 (廣東),點心,287
滾得囍宮廷火鍋小炒 Big Boils Club,北角馬寶道33號馬寶學林1樓116-125號舖,$201-400,粵菜 (廣東),中菜館,225
玉桃軒酒家 The Graces Restaurant,銅鑼灣波斯富街99號利舞臺廣場20樓,$101-200,粵菜 (廣東),火鍋,197
養心殿台式養生鍋,銅鑼灣軒尼詩道418號至430號友光大廈3樓全層,$201-400,粵菜 (廣東),火鍋,192
煮打菜打冷小菜館 Chef Recommendation Restaurant,筲箕灣南康街18號康華大廈地下1號舖,$51-100,川菜 (四川),川菜 (四川),176
玉桃軒酒家 The Graces Restaurant,太古康山道1-2號康怡廣場北座M樓M1號舖,$101-200,粵菜 (廣東),多國菜,164
周記點心 Chau Kee,西環西營盤水街東利大厦地下H1號舖,$50以下,中菜館,潮州菜,149
撈喜,筲箕灣東大街4-10號地下3A號舖,$51-100,粵菜 (廣東),點心,182
