name,location,price,country,style,likes,review,bookmark,discount_info
BRICK LANE Gallery,尖沙咀棉登徑17-23號地下,$101-200,英國菜,甜品/糖水,186,(276 食評),15232,送 25里數 / 30積分
The BASE,觀塘開源道52-54號豐利中心5樓509室,$101-200,西式,All Day Breakfast,242,(305 食評),12793,送 25里數 / 30積分
琥酌,太子西洋菜北街159A地下,$201-400,日本菜,烤肉,180,(225 食評),13021,送 25里數 / 30積分
Co-Dining Space,尖沙咀廣東道82-84號流尚坊11樓,$51-100,西式,漢堡包,208,(227 食評),5179,送 25里數 / 30積分
Zenon Café,中環威靈頓街86號地舖,$51-100,西式,三文治,221,(284 食評),10673,訂座並惠顧任何食品可享全單7折優惠
米走雞Live Running Chicken Live,觀塘興業街4號The Wave 3樓,$101-200,港式,火鍋,170,(209 食評),8230,送 25里數 / 30積分
平昌 Premium Pyeong Chang Premium,佐敦彌敦道219號莊士倫敦廣場5樓,$101-200,韓國菜,烤肉,188,(248 食評),15176,提供網上訂座
燒魂一 Guts Soul,尖沙咀漆咸道南57-59號金馬倫中心2樓,$201-400,日本菜,自助餐,296,(500 食評),15955,訂座可享 $50 現金折扣優惠
LA Creperie,銅鑼灣駱克道459-461號The L. Square 8樓,$101-200,法國菜,甜品/糖水,141,(202 食評),21656,提供網上訂座
Rang Mahal Authentic Indian Cuisine,中環皇后大道中118號2樓,$101-200,印度菜,印度菜,207,(238 食評),5303,訂座享8折優惠 
小曼谷海鮮燒烤屋 Mini Bangkok Seafood and Grill,九龍城太子道西398號御太子地下1-3號舖,$101-200,泰國菜,海鮮,223,(286 食評),9403,送 25里數 / 30積分
心夜來潮,旺角西洋菜南街138號福苑2樓,$51-100,潮州菜,海鮮,186,(254 食評),10657,送 25里數 / 30積分
Give Me 5,觀塘鴻圖道90號5樓,$101-200,日本菜,海鮮,260,(301 食評),6628,送 25里數 / 30積分
The Grill Room,尖沙咀堪富利士道6-6A號爵寓2樓,$201-400,西式,扒房,170,(223 食評),11381,網上訂座:午市主餐牌6折(不包括套餐)
Add Some Thai Restaurant,觀塘開源道62號駱駝漆大廈一座9樓D室,$101-200,泰國菜,包場派對,172,(236 食評),8642,送 25里數 / 30積分
大井町日式放題 Ooimachi Japanese Buffet,荃灣眾安街55號大鴻輝(荃灣)中心3樓,$201-400,日本菜,日式放題,235,(337 食評),16588,送 25里數 / 30積分
Ocio,大圍積存街74-76號地下A舖,$101-200,多國菜,甜品/糖水,210,(287 食評),4423,晚市套餐優惠(9折)
Bistronomique,西環爹核士街1號裕福大廈地下1號舖,$201-400,法國菜,西餐廳,205,(226 食評),9969,送 25里數 / 30積分
首爾家韓國料理 Seoul House,銅鑼灣邊寧頓街13-15號隆堡柏寧頓酒店1樓,$101-200,韓國菜,烤肉,196,(245 食評),8043,送 25里數 / 30積分
熨烤達人 Mr. Iron,旺角洗衣街147號地下,$101-200,韓國菜,烤肉,204,(271 食評),8479,送 25里數 / 30積分
Dream Cafe,旺角砵蘭街215號朗晴坊5樓全層,$101-200,西式,薄餅,193,(236 食評),3259,送 25里數 / 30積分
尚鮮火鍋海鮮料理 Seansin Seafood Hotpot Experts,佐敦吳松街62-64 幸福商業大廈1樓,$201-400,港式,火鍋,190,(201 食評),4962,送 25里數 / 30積分
養心殿台式養生鍋,荃灣眾安街55號大鴻輝(荃灣)中心17樓,$201-400,台灣菜,火鍋,162,(207 食評),12976,指定時段五折優惠 (需於晚上七點半前離座)
E Molto Buono,銅鑼灣霎西街28號必發商業大廈2樓,$401-800,意大利菜,Fine Dining,195,(204 食評),6402,送 25里數 / 30積分
Nardo's Cafe,旺角彌敦道594-596號旺角新城8樓全層,$51-100,西式,樓上cafe,140,(176 食評),6760,送 25里數 / 30積分
Aqua,尖沙咀北京道1號29樓,$401-800,日本菜,海鮮,165,(306 食評),27172,送 25里數 / 30積分
Rimi Cafe,旺角登打士街43H號登打士廣場20樓全層,$51-100,西式,樓上cafe,151,(189 食評),6374,任何時段 訂座可享95折優惠
