,Rank,Song,Artist,Year
300,1,hey jude,the beatles,1968
301,2,love is blue,paul mauriat,1968
302,3,honey,bobby goldsboro,1968
303,4,sittin on the dock of the bay,otis redding,1968
304,5,people got to be free,the rascals,1968
305,6,sunshine of your love,cream,1968
306,7,this guys in love with you,herb alpert,1968
307,8,the good the bad and the ugly,hugo montenegro,1968
308,9,mrs robinson,simon  garfunkel,1968
309,10,tighten up,archie bell  the drells,1968
310,11,harper valley pta,jeannie c riley,1968
311,12,little green apples,o c smith,1968
312,13,mony mony,tommy james and the shondells,1968
313,14,hello i love you,the doors,1968
314,15,young girl,gary puckett  the union gap,1968
315,16,cry like a baby,the box tops,1968
316,17,stoned soul picnic,the 5th dimension,1968
317,18,grazing in the grass,hugh masekela,1968
318,19,midnight confessions,the grass roots,1968
319,20,dance to the music,sly  the family stone,1968
320,21,the horse,cliff nobles,1968
321,22,i wish it would rain,the temptations,1968
322,23,lala means i love you,the delfonics,1968
323,24,turn around look at me,the vogues,1968
324,25,judy in disguise with glasses,john fred  his playboy band,1968
325,26,spooky,classics iv,1968
326,27,love child,the supremes,1968
327,28,angel of the morning,merrilee rush,1968
328,29,the ballad of bonnie and clyde,georgie fame,1968
329,30,those were the days,mary hopkin,1968
330,31,born to be wild,steppenwolf,1968
331,32,cowboys to girls,the intruders,1968
332,33,simon says,1910 fruitgum company,1968
333,34,lady willpower,gary puckett  the union gap,1968
334,35,a beautiful morning,the rascals,1968
335,36,the look of love,sergio mendes,1968
336,37,hold me tight,johnny nash,1968
337,38,yummy yummy yummy,ohio express,1968
338,39,fire,the crazy world of arthur brown,1968
339,40,love is all around,the troggs,1968
340,41,playboy,gene  debbe,1968
341,42,theme from valley of the dolls,dionne warwick,1968
342,43,classical gas,mason williams,1968
343,44,slip away,clarence carter,1968
344,45,im a girl watcher,the okaysions,1968
345,46,sweet sweet baby since youve been gone,aretha franklin,1968
346,47,green tambourine,the lemon pipers,1968
347,48,1 2 3 red light,1910 fruitgum company,1968
348,49,reach out of the darkness,friend  lover,1968
349,50,jumpin jack flash,the rolling stones,1968
350,51,macarthur park,richard harris,1968
351,52,light my fire,jose feliciano,1968
352,53,i love you,people,1968
353,54,take time to know her,percy sledge,1968
354,55,pictures of matchstick men,status quo,1968
355,56,summertime blues,blue cheer,1968
356,57,aint nothing like the real thing,marvin gaye  tammi terrell,1968
357,58,i got the feelin,james brown,1968
358,59,ive gotta get a message to you,the bee gees,1968
359,60,lady madonna,the beatles,1968
360,61,hurdy gurdy man,donovan,1968
361,62,magic carpet ride,steppenwolf,1968
362,63,bottle of wine,the fireballs,1968
363,64,stay in my corner,the dells,1968
364,65,soul serenade,willie mitchell,1968
365,66,delilah,tom jones,1968
366,67,nobody but me,the human beinz,1968
367,68,i thank you,sam and dave,1968
368,69,the fool on the hill,sergio mendes,1968
369,70,sky pilot,the animals,1968
370,71,indian lake,the cowsills,1968
371,72,i wonder what shes doing tonight,tommy boyce  bobby hart,1968
372,73,over you,gary puckett  the union gap,1968
373,74,goin out of my headcant take my eyes off you,the lettermen,1968
374,75,shoobedoobedoodaday,stevie wonder,1968
375,76,the unicorn,the irish rovers,1968
376,77,you keep me hangin on,vanilla fudge,1968
377,78,revolution,the beatles,1968
378,79,woman woman,gary puckett  the union gap,1968
379,80,elenore,the turtles,1968
380,81,white room,cream,1968
381,82,youre all i need to get by,marvin gaye  tammi terrell,1968
382,83,baby now that ive found you,the foundations,1968
383,84,sweet inspiration,sweet inspirations,1968
384,85,if you can want,the miracles,1968
385,86,cab driver,the mills brothers,1968
386,87,time has come today,the chambers brothers,1968
387,88,do you know the way to san jose,dionne warwick,1968
388,89,scarborough faircanticle,simon  garfunkel,1968
389,90,say it loud  im black and im proud,james brown,1968
390,91,the mighty quinn,manfred mann,1968
391,92,here comes the judge,shorty long,1968
392,93,i say a little prayer,aretha franklin,1968
393,94,think,aretha franklin,1968
394,95,sealed with a kiss,gary lewis and the playboys,1968
395,96,piece of my heart,big brother and the holding company,1968
396,97,suzie q,creedence clearwater revival,1968
397,98,bend me shape me,the american breed,1968
398,99,hey western union man,jerry butler,1968
399,100,never give you up,jerry butler,1968
400,1,sugar sugar,the archies,1969
401,2,aquariuslet the sunshine in,the 5th dimension,1969
