,Rank,Song,Artist,Year
4088,89,just the girl,the click five,2005
4089,90,TRUE,ryan cabrera,2005
4090,91,o,omarion,2005
4091,92,back then,mike jones,2005
4092,93,numbencore,jayz and linkin park,2005
4093,94,wonderful,ja rule featuring r kelly and ashanti,2005
4094,95,im sprung,tpain,2005
4095,96,chariot,gavin degraw,2005
4096,97,u already know,112 featuring foxy brown,2005
4097,98,mississippi girl,faith hill,2005
4098,99,number one spot,ludacris,2005
4099,100,give me that,webbie featuring bun b,2005
4100,1,bad day,daniel powter,2006
4101,2,temperature,sean paul,2006
4102,3,promiscuous,nelly furtado featuring timbaland,2006
4103,4,youre beautiful,james blunt,2006
4104,5,hips dont lie,shakira featuring wyclef jean,2006
4105,6,unwritten,natasha bedingfield,2006
4106,7,crazy,gnarls barkley,2006
4107,8,ridin,chamillionaire featuring krayzie bone,2006
4108,9,sexyback,justin timberlake featuring timbaland,2006
4109,10,check on it,beyonce featuring slim thug,2006
4110,11,be without you,mary j blige,2006
4111,12,grillz,nelly paul wall and ali  gipp,2006
4112,13,over my head cable car,the fray,2006
4113,14,me  u,cassie,2006
4114,15,buttons,pussycat dolls featuring snoop dogg,2006
4115,16,run it,chris brown featuring juelz santana,2006
4116,17,so sick,neyo,2006
4117,18,its goin down,yung joc featuring nitti,2006
4118,19,sos,rihanna,2006
4119,20,i write sins not tragedies,panic at the disco,2006
4120,21,move along,the allamerican rejects,2006
4121,22,london bridge,fergie,2006
4122,23,dani california,red hot chili peppers,2006
4123,24,snap yo fingers,lil jon featuring e40 and sean paul,2006
4124,25,lean wit it rock wit it,dem franchize boyz,2006
4125,26,what hurts the most,rascal flatts,2006
4126,27,how to save a life,the fray,2006
4127,28,unfaithful,rihanna,2006
4128,29,chasing cars,snow patrol,2006
4129,30,lips of an angel,hinder,2006
4130,31,everytime we touch,cascada,2006
4131,32,aint no other man,christina aguilera,2006
4132,33,dance dance,fall out boy,2006
4133,34,gold digger,kanye west featuring jamie foxx,2006
4134,35,money maker,ludacris featuring pharrell,2006
4135,36,ms new booty,bubba sparxxx featuring ying yang twins,2006
4136,37,when you gonna give it up to me,sean paul featuring keyshia cole,2006
4137,38,photograph,nickelback,2006
4138,39,because of you,kelly clarkson,2006
4139,40,stickwitu,pussycat dolls,2006
4140,41,im n luv wit a stripper,tpain featuring mike jones,2006
4141,42,my humps,the black eyed peas,2006
4142,43,whered you go,fort minor featuring holly brook and jonah matranga,2006
4143,44,yo excuse me miss,chris brown,2006
4144,45,walk away,kelly clarkson,2006
4145,46,laffy taffy,d4l,2006
4146,47,what you know,ti,2006
4147,48,dirty little secret,the allamerican rejects,2006
4148,49,savin me,nickelback,2006
4149,50,dont forget about us,mariah carey,2006
4150,51,sexy love,neyo,2006
4151,52,u and dat,e40 featuring tpain and kandi girl,2006
4152,53,far away,nickelback,2006
4153,54,whats left of me,nick lachey,2006
4154,55,so what,field mob featuring ciara,2006
4155,56,do it to it,cherish featuring sean p,2006
4156,57,black horse and the cherry tree,kt tunstall,2006
4157,58,there it go the whistle song,juelz santana,2006
4158,59,shoulder lean,young dro featuring ti,2006
4159,60,unpredictable,jamie foxx featuring ludacris,2006
4160,61,my love,justin timberlake featuring ti,2006
4161,62,shake that,eminem featuring nate dogg,2006
4162,63,pullin me back,chingy featuring tyrese,2006
4163,64,bossy,kelis featuring too short,2006
4164,65,chain hang low,jibbs,2006
4165,66,smack that,akon featuring eminem,2006
4166,67,one wish,ray j,2006
4167,68,sugar were goin down,fall out boy,2006
4168,69,gimme that,chris brown featuring lil wayne,2006
4169,70,i know you see it,yung joc,2006
4170,71,who says you cant go home,bon jovi featuring jennifer nettles,2006
4171,72,too little too late,jojo,2006
4172,73,touch it,busta rhymes,2006
4173,74,rompe,daddy yankee,2006
4174,75,dej`a vu,beyonce featuring jayz,2006
4175,76,life is a highway,rascal flatts,2006
4176,77,call me when youre sober,evanescence,2006
4177,78,jesus take the wheel,carrie underwood,2006
4178,79,show stopper,danity kane featuring yung joc,2006
4179,80,get up,ciara featuring chamillionaire,2006
4180,81,we be burnin,sean paul,2006
4181,82,hate me,blue october,2006
4182,83,you and me,lifehouse,2006
4183,84,beep,pussycat dolls featuring william,2006
4184,85,i think they like me,dem franchize boyz featuring jermaine dupri da brat and bow wow,2006
4185,86,say goodbye,chris brown,2006
4186,87,waiting on the world to change,john mayer,2006
4187,88,soul survivor,young jeezy featuring akon,2006
4188,89,pump it,the black eyed peas,2006
4189,90,when im gone,eminem,2006
4190,91,hung up,madonna,2006
4191,92,stay fly,three 6 mafia featuring young buck and 8ball  mjg,2006
4192,93,love,keyshia cole,2006
4193,94,when youre mad,neyo,2006
4194,95,why you wanna,ti,2006
4195,96,stupid girls,pink,2006
4196,97,feel good inc,gorillaz,2006
4197,98,im sprung,tpain,2006
4198,99,do i make you proud,taylor hicks,2006
4199,100,for you i will confidence,teddy geiger,2006
4200,1,irreplaceable,beyonce,2007
4201,2,umbrella,rihanna featuring jayz,2007
4202,3,the sweet escape,gwen stefani featuring akon,2007
4203,4,big girls dont cry,fergie,2007
4204,5,buy u a drank shawty snappin,tpain featuring yung joc,2007
4205,6,before he cheats,carrie underwood,2007
4206,7,hey there delilah,plain white ts,2007
4207,8,i wanna love you,akon featuring snoop dogg,2007
4208,9,say it right,nelly furtado,2007
4209,10,glamorous,fergie featuring ludacris,2007
4210,11,dont matter,akon,2007
4211,12,girlfriend,avril lavigne,2007
4212,13,makes me wonder,maroon 5,2007
4213,14,party like a rockstar,shop boyz,2007
4214,15,smack that,akon featuring eminem,2007
4215,16,this is why im hot,mims,2007
4216,17,its not over,daughtry,2007
4217,18,the way i are,timbaland featuring keri hilson,2007
4218,19,fergalicious,fergie featuring william,2007
4219,20,crank that soulja boy,soulja boy tell em,2007
4220,21,give it to me,timbaland featuring nelly furtado and justin timberlake,2007
4221,22,what goes around comes around,justin timberlake,2007
4222,23,cupids chokehold,gym class heroes featuring patrick stump,2007
4223,24,how to save a life,the fray,2007
4224,25,home,daughtry,2007
4225,26,my love,justin timberlake featuring ti,2007
4226,27,stronger,kanye west,2007
4227,28,we fly high,jim jones,2007
4228,29,u  ur hand,pink,2007
4229,30,walk it out,unk,2007
4230,31,beautiful girls,sean kingston,2007
4231,32,this aint a scene its an arms race,fall out boy,2007
4232,33,bartender,tpain featuring akon,2007
4233,34,pop lock  drop it,huey,2007
4234,35,runaway love,ludacris featuring mary j blige,2007
4235,36,rockstar,nickelback,2007
4236,37,thnks fr th mmrs,fall out boy,2007
4237,38,what ive done,linkin park,2007
4238,39,summer love,justin timberlake,2007
4239,40,you,lloyd featuring lil wayne,2007
4240,41,wait for you,elliott yamin,2007
4241,42,last night,diddy featuring keyshia cole,2007
4242,43,make it rain,fat joe featuring lil wayne,2007
4243,44,make me better,fabolous featuring neyo,2007
4244,45,ice box,omarion featuring timbaland,2007
4245,46,lips of an angel,hinder,2007
4246,47,waiting on the world to change,john mayer,2007
4247,48,lost without u,robin thicke,2007
4248,49,im a flirt,r kelly featuring ti and tpain,2007
4249,50,if everyone cared,nickelback,2007
4250,51,get it shawty,lloyd,2007
4251,52,face down,the red jumpsuit apparatus,2007
4252,53,the way i live,baby boy da prince,2007
4253,54,shortie like mine,bow wow featuring chris brown and johnt'a austin,2007
4254,55,it ends tonight,the allamerican rejects,2007
4255,56,a bay bay,hurricane chris,2007
4256,57,because of you,neyo,2007
4257,58,i tried,bone thugsnharmony featuring akon,2007
4258,59,welcome to the black parade,my chemical romance,2007
4259,60,shawty,plies featuring tpain,2007
4260,61,chasing cars,snow patrol,2007
4261,62,beautiful liar,beyonce featuring shakira,2007
4262,63,sexyback,justin timberlake,2007
4263,64,keep holding on,avril lavigne,2007
4264,65,let it go,keyshia cole featuring missy elliott and lil kim,2007
4265,66,apologize,timbaland featuring onerepublic,2007
4266,67,bubbly,colbie caillat,2007
4267,68,like a boy,ciara,2007
4268,69,who knew,pink,2007
4269,70,never again,kelly clarkson,2007
4270,71,promise,ciara,2007
4271,72,bed,j holiday,2007
4272,73,throw some ds,rich boy featuring polow da don,2007
4273,74,rehab,amy winehouse,2007
4274,75,big shit poppin do it,ti,2007
4275,76,no one,alicia keys,2007
4276,77,the great escape,boys like girls,2007
4277,78,2 step,unk,2007
4278,79,walk away remember me,paula deanda featuring the dey,2007
4279,80,go getta,young jeezy featuring r kelly,2007
4280,81,here in your arms,hellogoodbye,2007
4281,82,on the hotline,pretty ricky,2007
4282,83,wind it up,gwen stefani,2007
4283,84,cyclone,baby bash featuring tpain,2007
4284,85,break it off,rihanna featuring sean paul,2007
4285,86,first time,lifehouse,2007
4286,87,ayo technology,50 cent featuring justin timberlake and timbaland,2007
4287,88,outta my system,bow wow featuring tpain and johnt'a austin,2007
4288,89,teardrops on my guitar,taylor swift,2007
4289,90,shut up and drive,rihanna,2007
4290,91,snow hey oh,red hot chili peppers,2007
4291,92,money maker,ludacris featuring pharrell,2007
4292,93,kiss kiss,chris brown featuring tpain,2007
4293,94,far away,nickelback,2007
4294,95,rock yo hips,crime mob and lil scrappy,2007
4295,96,lovestoned,justin timberlake,2007
4296,97,better than me,hinder,2007
4297,98,paralyzer,finger eleven,2007
4298,99,thats that,snoop dogg featuring r kelly,2007
4299,100,same girl,r kelly featuring usher,2007
4300,1,low,flo rida featuring tpain,2008
4301,2,bleeding love,leona lewis,2008
4302,3,no one,alicia keys,2008
4303,4,lollipop,lil wayne featuring static major,2008
4304,5,apologize,timbaland featuring onerepublic,2008
4305,6,no air,jordin sparks and chris brown,2008
4306,7,love song,sara bareilles,2008
4307,8,love in this club,usher featuring young jeezy,2008
4308,9,with you,chris brown,2008
4309,10,forever,chris brown,2008
4310,11,sexy can i,ray j featuring yung berg,2008
4311,12,take a bow,rihanna,2008
4312,13,viva la vida,coldplay,2008
4313,14,i kissed a girl,katy perry,2008
4314,15,whatever you like,ti,2008
4315,16,disturbia,rihanna,2008
4316,17,dont stop the music,rihanna,2008
4317,18,pocketful of sunshine,natasha bedingfield,2008
4318,19,kiss kiss,chris brown featuring tpain,2008
4319,20,closer,neyo,2008
4320,21,bubbly,colbie caillat,2008
4321,22,touch my body,mariah carey,2008
4322,23,4 minutes,madonna featuring justin timberlake and timbaland,2008
4323,24,so what,pink,2008
4324,25,paralyzer,finger eleven,2008
4325,26,clumsy,fergie,2008
4326,27,im yours,jason mraz,2008
4327,28,leavin,jesse mccartney,2008
4328,29,dangerous,kardinal offishall featuring akon,2008
4329,30,tattoo,jordin sparks,2008
4330,31,see you again,miley cyrus,2008
4331,32,shake it,metro station,2008
4332,33,stop and stare,onerepublic,2008
4333,34,take you there,sean kingston,2008
4334,35,paper planes,mia,2008
4335,36,hot n cold,katy perry,2008
4336,37,live your life,ti featuring rihanna,2008
4337,38,bust it baby part 2,plies featuring neyo,2008
4338,39,american boy,estelle featuring kanye west,2008
4339,40,got money,lil wayne featuring tpain,2008
4340,41,our song,taylor swift,2008
4341,42,damaged,danity kane,2008
4342,43,a milli,lil wayne,2008
4343,44,sorry,buckcherry,2008
4344,45,independent,webbie featuring lil boosie and lil phat,2008
4345,46,cant believe it,tpain featuring lil wayne,2008
4346,47,like youll never see me again,alicia keys,2008
4347,48,teardrops on my guitar,taylor swift,2008
4348,49,when i grow up,pussycat dolls,2008
4349,50,sexual eruption,snoop dogg,2008
4350,51,what you got,colby odonis featuring akon,2008
4351,52,its not my time,3 doors down,2008
4352,53,better in time,leona lewis,2008
4353,54,crank that soulja boy,soulja boy tell em,2008
4354,55,shadow of the day,linkin park,2008
4355,56,sweetest girl dollar bill,wyclef jean featuring akon lil wayne and niia,2008
4356,57,miss independent,neyo,2008
4357,58,fall for you,secondhand serenade,2008
4358,59,in the ayer,flo rida featuring william,2008
4359,60,say,john mayer,2008
4360,61,one step at a time,jordin sparks,2008
4361,62,hate that i love you,rihanna featuring neyo,2008
4362,63,superstar,lupe fiasco featuring matthew santos,2008
4363,64,suffocate,j holiday,2008
4364,65,let it rock,kevin rudolf featuring lil wayne,2008
4365,66,get like me,david banner featuring chris brown,2008
4366,67,realize,colbie caillat,2008
4367,68,put on,young jeezy featuring kanye west,2008
4368,69,the time of my life,david cook,2008
4369,70,lolli lolli pop that body,three 6 mafia,2008
4370,71,cyclone,baby bash featuring tpain,2008
4371,72,love like this,natasha bedingfield featuring sean kingston,2008
4372,73,burnin up,jonas brothers featuring big rob,2008
4373,74,love lockdown,kanye west,2008
4374,75,i luv your girl,thedream,2008
4375,76,crush,david archuleta,2008
4376,77,hypnotized,plies featuring akon,2008
4377,78,big girls dont cry,fergie,2008
4378,79,good life,kanye west featuring tpain,2008
4379,80,womanizer,britney spears,2008
4380,81,love story,taylor swift,2008
4381,82,just fine,mary j blige,2008
4382,83,piece of me,britney spears,2008
4383,84,the boss,rick ross featuring tpain,2008
4384,85,all summer long,kid rock,2008
4385,86,cant help but wait,trey songz,2008
4386,87,in love with a girl,gavin degraw,2008
4387,88,my life,the game featuring lil wayne,2008
4388,89,i remember,keyshia cole,2008
4389,90,flashing lights,kanye west featuring dwele,2008
4390,91,mrs officer,lil wayne featuring bobby valentino,2008
4391,92,7 things,miley cyrus,2008
4392,93,youre gonna miss this,trace adkins,2008
4393,94,love remains the same,gavin rossdale,2008
4394,95,feels like tonight,daughtry,2008
4395,96,the way i are,timbaland featuring keri hilson,2008
4396,97,addicted,saving abel,2008
4397,98,into the night,santana featuring chad kroeger,2008
4398,99,heaven sent,keyshia cole,2008
4399,100,she got it,2 pistols featuring tpain and tay dizm,2008
4400,1,boom boom pow,the black eyed peas,2009
4401,2,poker face,lady gaga,2009
4402,3,just dance,lady gaga featuring colby odonis,2009
4403,4,i gotta feeling,the black eyed peas,2009
4404,5,love story,taylor swift,2009
4405,6,right round,flo rida,2009
4406,7,im yours,jason mraz,2009
4407,8,single ladies put a ring on it,beyonce,2009
4408,9,heartless,kanye west,2009
4409,10,gives you hell,the allamerican rejects,2009
4410,11,you belong with me,taylor swift,2009
4411,12,dead and gone,ti featuring justin timberlake,2009
4412,13,you found me,the fray,2009
4413,14,use somebody,kings of leon,2009
4414,15,knock you down,keri hilson featuring kanye west and neyo,2009
4415,16,blame it,jamie foxx featuring tpain,2009
4416,17,i know you want me calle ocho,pitbull,2009
4417,18,live your life,ti featuring rihanna,2009
4418,19,kiss me thru the phone,soulja boy tell em featuring sammie,2009
4419,20,down,jay sean featuring lil wayne,2009
4420,21,the climb,miley cyrus,2009
4421,22,best i ever had,drake,2009
4422,23,my life would suck without you,kelly clarkson,2009
4423,24,halo,beyonce,2009
4424,25,hot n cold,katy perry,2009
4425,26,second chance,shinedown,2009
4426,27,circus,britney spears,2009
4427,28,day n nite,kid cudi,2009
4428,29,party in the usa,miley cyrus,2009
4429,30,dont trust me,3oh3,2009
4430,31,run this town,jayz featuring rihanna and kanye west,2009
4431,32,let it rock,kevin rudolf featuring lil wayne,2009
4432,33,fire burning,sean kingston,2009
4433,34,whatcha say,jason derulo,2009
4434,35,lovegame,lady gaga,2009
4435,36,waking up in vegas,katy perry,2009
4436,37,birthday sex,jeremih,2009
4437,38,sober,pink,2009
4438,39,womanizer,britney spears,2009
4439,40,whatever you like,ti,2009
4440,41,obsessed,mariah carey,2009
4441,42,mad,neyo,2009
4442,43,good girls go bad,cobra starship featuring leighton meester,2009
4443,44,love lockdown,kanye west,2009
4444,45,so what,pink,2009
4445,46,hotel room service,pitbull,2009
4446,47,crack a bottle,eminem dr dre and 50 cent,2009
4447,48,if i were a boy,beyonce,2009
4448,49,turnin me on,keri hilson featuring lil wayne,2009
4449,50,i hate this part,pussycat dolls,2009
4450,51,gotta be somebody,nickelback,2009
4451,52,please dont leave me,pink,2009
4452,53,paparazzi,lady gaga,2009
4453,54,beautiful,akon featuring colby odonis and kardinal offishall,2009
4454,55,viva la vida,coldplay,2009
4455,56,right now na na na,akon,2009
4456,57,battlefield,jordin sparks,2009
4457,58,sugar,flo rida featuring wynter gordon,2009
4458,59,miss independent,neyo,2009
4459,60,fireflies,owl city,2009
4460,61,new divide,linkin park,2009
4461,62,empire state of mind,jayz and alicia keys,2009
4462,63,no surprise,daughtry,2009
4463,64,she wolf,shakira,2009
4464,65,break up,mario featuring gucci mane and sean garrett,2009
4465,66,sweet dreams,beyonce,2009
4466,67,every girl,young money,2009
4467,68,fallin for you,colbie caillat,2009
4468,69,untouched,the veronicas,2009
4469,70,if today was your last day,nickelback,2009
4470,71,throw it in the bag,fabolous featuring thedream,2009
4471,72,love drunk,boys like girls,2009
4472,73,i love college,asher roth,2009
4473,74,if u seek amy,britney spears,2009
4474,75,big green tractor,jason aldean,2009
4475,76,white horse,taylor swift,2009
4476,77,disturbia,rihanna,2009
4477,78,21 guns,green day,2009
4478,79,turn my swag on,soulja boy tell em,2009
4479,80,rockin that thang,thedream,2009
4480,81,chicken fried,zac brown band,2009
4481,82,diva,beyonce,2009
4482,83,replay,iyaz,2009
4483,84,then,brad paisley,2009
4484,85,her diamonds,rob thomas,2009
4485,86,how do you sleep,jesse mccartney featuring ludacris,2009
4486,87,3,britney spears,2009
4487,88,forever,drake featuring kanye west lil wayne and eminem,2009
4488,89,one time,justin bieber,2009
4489,90,i run to you,lady antebellum,2009
4490,91,i do not hook up,kelly clarkson,2009
4491,92,green light,john legend featuring andre 3000,2009
4492,93,people are crazy,billy currington,2009
4493,94,whatever it is,zac brown band,2009
4494,95,already gone,kelly clarkson,2009
4495,96,goodbye,kristinia debarge,2009
4496,97,say hey i love you,michael franti  spearhead featuring cherine anderson,2009
4497,98,pop champagne,jim jones featuring ron browz and juelz santana,2009
4498,99,pretty wings,maxwell,2009
4499,100,never say never,the fray,2009
4500,1,tik tok,keha,2010
4501,2,need you now,lady antebellum,2010
4502,3,hey soul sister,train,2010
4503,4,california gurls,katy perry featuring snoop dogg,2010
4504,5,omg,usher featuring william,2010
4505,6,airplanes,bob featuring hayley williams,2010
4506,7,love the way you lie,eminem featuring rihanna,2010
4507,8,bad romance,lady gaga,2010
4508,9,dynamite,taio cruz,2010
4509,10,break your heart,taio cruz featuring ludacris,2010
4510,11,nothin on you,bob featuring bruno mars,2010
4511,12,i like it,enrique iglesias featuring pitbull,2010
4512,13,bedrock,young money featuring lloyd,2010
4513,14,in my head,"jason der""ulo",2010
4514,15,rude boy,rihanna,2010
4515,16,telephone,lady gaga featuring beyonce,2010
4516,17,teenage dream,katy perry,2010
4517,18,just the way you are,bruno mars,2010
4518,19,cooler than me,mike posner,2010
4519,20,imma be,the black eyed peas,2010
4520,21,empire state of mind,jayz and alicia keys,2010
4521,22,dj got us fallin in love,usher featuring pitbull,2010
4522,23,billionaire,travie mccoy featuring bruno mars,2010
4523,24,not afraid,eminem,2010
4524,25,replay,iyaz,2010
4525,26,sexy bitch,david guetta featuring akon,2010
4526,27,breakeven,the script,2010
4527,28,your love is my drug,keha,2010
4528,29,i gotta feeling,the black eyed peas,2010
4529,30,fireflies,owl city,2010
4530,31,say aah,trey songz featuring fabolous,2010
4531,32,find your love,drake,2010
4532,33,alejandro,lady gaga,2010
4533,34,ridin solo,"jason der""ulo",2010
4534,35,just a dream,nelly,2010
4535,36,how low,ludacris,2010
4536,37,like a g6,far east movement featuring the cataracs and dev,2010
4537,38,carry out,timbaland featuring justin timberlake,2010
4538,39,havent met you yet,michael buble,2010
4539,40,club cant handle me,flo rida featuring david guetta,2010
4540,41,down,jay sean featuring lil wayne,2010
4541,42,bulletproof,la roux,2010
4542,43,whatcha say,"jason der""ulo",2010
4543,44,baby,justin bieber featuring ludacris,2010
4544,45,whataya want from me,adam lambert,2010
4545,46,mine,taylor swift,2010
4546,47,only girl in the world,rihanna,2010
4547,48,live like were dying,allen kriskris allen,2010
4548,49,hard,rihanna featuring jeezy,2010
4549,50,young forever,jayz featuring mr hudson,2010
4550,51,blah blah blah,keha featuring 3oh3,2010
4551,52,bottoms up,trey songz featuring nicki minaj,2010
4552,53,do you remember,jay sean featuring sean paul and lil jon,2010
4553,54,all the right moves,onerepublic,2010
4554,55,according to you,orianthi,2010
4555,56,my chick bad,ludacris featuring nicki minaj,2010
4556,57,you belong with me,taylor swift,2010
4557,58,meet me halfway,the black eyed peas,2010
4558,59,take it off,keha,2010
4559,60,over,drake,2010
4560,61,animal,neon trees,2010
4561,62,misery,maroon 5,2010
4562,63,magic,bob featuring rivers cuomo,2010
4563,64,paparazzi,lady gaga,2010
4564,65,tie me down,new boyz featuring ray j,2010
4565,66,your love,nicki minaj,2010
4566,67,party in the usa,miley cyrus,2010
4567,68,deuces,chris brown featuring tyga and kevin mccall,2010
4568,69,3,britney spears,2010
4569,70,impossible,shontelle,2010
4570,71,forever,drake featuring kanye west lil wayne and eminem,2010
4571,72,two is better than one,boys like girls featuring taylor swift,2010
4572,73,my first kiss,3oh3 featuring keha,2010
4573,74,already gone,kelly clarkson,2010
4574,75,rock that body,the black eyed peas,2010
4575,76,secrets,onerepublic,2010
4576,77,naturally,selena gomez  the scene,2010
4577,78,unthinkable im ready,alicia keys,2010
4578,79,all i do is win,dj khaled featuring tpain ludacris snoop dogg and rick ross,2010
4579,80,i made it cash money heroes,kevin rudolf featuring birdman jay sean and lil wayne,2010
4580,81,stuck like glue,sugarland,2010
4581,82,hey daddy daddys home,usher featuring plies,2010
4582,83,there goes my baby,usher,2010
4583,84,today was a fairytale,taylor swift,2010
4584,85,say something,timbaland featuring drake,2010
4585,86,sweet dreams,beyonce,2010
4586,87,use somebody,kings of leon,2010
4587,88,undo it,carrie underwood,2010
4588,89,eenie meenie,sean kingston and justin bieber,2010
4589,90,right above it,lil wayne featuring drake,2010
4590,91,the house that built me,miranda lambert,2010
4591,92,if i die young,the band perry,2010
4592,93,the only exception,paramore,2010
4593,94,american honey,lady antebellum,2010
4594,95,king of anything,sara bareilles,2010
4595,96,life after you,daughtry,2010
4596,97,smile,uncle kracker,2010
4597,98,teach me how to dougie,cali swag district,2010
4598,99,try sleeping with a broken heart,alicia keys,2010
4599,100,lover lover,jerrod niemann,2010
4600,1,rolling in the deep,adele,2011
4601,2,party rock anthem,lmfao featuring lauren bennett and goonrock,2011
4602,3,firework,katy perry,2011
4603,4,et,katy perry featuring kanye west,2011
4604,5,give me everything,pitbull featuring neyo afrojack and nayer,2011
4605,6,grenade,bruno mars,2011
4606,7,fuck you,cee lo green,2011
4607,8,super bass,nicki minaj,2011
4608,9,moves like jagger,maroon 5 featuring christina aguilera,2011
4609,10,just cant get enough,the black eyed peas,2011
4610,11,on the floor,jennifer lopez featuring pitbull,2011
4611,12,sm,rihanna,2011
4612,13,pumped up kicks,foster the people,2011
4613,14,last friday night tgif,katy perry,2011
4614,15,just the way you are,bruno mars,2011
4615,16,tonight im lovin you,enrique iglesias featuring ludacris and dj frank e,2011
4616,17,raise your glass,pink,2011
4617,18,born this way,lady gaga,2011
4618,19,fuckin perfect,pink,2011
4619,20,whats my name,rihanna featuring drake,2011
4620,21,look at me now,chris brown featuring lil wayne and busta rhymes,2011
4621,22,down on me,jeremih featuring 50 cent,2011
4622,23,how to love,lil wayne,2011
4623,24,someone like you,adele,2011
4624,25,good life,onerepublic,2011
4625,26,the lazy song,bruno mars,2011
4626,27,till the world ends,britney spears,2011
4627,28,the show goes on,lupe fiasco,2011
4628,29,the edge of glory,lady gaga,2011
4629,30,we r who we r,keha,2011
4630,31,black and yellow,wiz khalifa,2011
4631,32,tonight tonight,hot chelle rae,2011
4632,33,blow,keha,2011
4633,34,lighters,bad meets evil featuring bruno mars,2011
4634,35,if i die young,the band perry,2011
4635,36,stereo hearts,gym class heroes featuring adam levine,2011
4636,37,the time dirty bit,the black eyed peas,2011
4637,38,coming home,diddy  dirty money featuring skylar grey,2011
4638,39,hey baby drop it to the floor,pitbull featuring tpain,2011
4639,40,only girl in the world,rihanna,2011
4640,41,6 foot 7 foot,lil wayne featuring cory gunz,2011
4641,42,just a kiss,lady antebellum,2011
4642,43,dirt road anthem,jason aldean,2011
4643,44,dynamite,taio cruz,2011
4644,45,no hands,waka flocka flame featuring wale and roscoe dash,2011
4645,46,i wanna go,britney spears,2011
4646,47,im on one,dj khaled featuring drake rick ross and lil wayne,2011
4647,48,you make me feel,cobra starship featuring sabi,2011
4648,49,yeah 3x,chris brown,2011
4649,50,moment 4 life,nicki minaj featuring drake,2011
4650,51,i need a doctor,dr dre featuring eminem and skylar grey,2011
4651,52,just a dream,nelly,2011
4652,53,motivation,kelly rowland featuring lil wayne,2011
4653,54,stereo love,edward maya featuring vika jigulina,2011
4654,55,jar of hearts,christina perri,2011
4655,56,roll up,wiz khalifa,2011
4656,57,sexy and i know it,lmfao,2011
4657,58,rocketeer,far east movement featuring ryan tedder,2011
4658,59,all of the lights,kanye west featuring rihanna,2011
4659,60,hold it against me,britney spears,2011
4660,61,more,usher,2011
4661,62,what the hell,avril lavigne,2011
4662,63,written in the stars,tinie tempah featuring eric turner,2011
4663,64,bottoms up,trey songz featuring nicki minaj,2011
4664,65,dj got us fallin in love,usher featuring pitbull,2011
4665,66,for the first time,the script,2011
4666,67,honey bee,blake shelton,2011
4667,68,dont you wanna stay,jason aldean featuring kelly clarkson,2011
4668,69,we found love,rihanna featuring calvin harris,2011
4669,70,pretty girl rock,keri hilson,2011
4670,71,"yo""u and i",lady gaga,2011
4671,72,like a g6,far east movement featuring the cataracs and dev,2011
4672,73,without you,david guetta featuring usher,2011
4673,74,back to december,taylor swift,2011
4674,75,teenage dream,katy perry,2011
4675,76,crazy girl,eli young band,2011
4676,77,cheers drink to that,rihanna,2011
4677,78,who says,selena gomez  the scene,2011
4678,79,barefoot blue jean night,jake owen,2011
4679,80,knee deep,zac brown band featuring jimmy buffett,2011
4680,81,country girl shake it for me,luke bryan,2011
4681,82,remind me,brad paisley and carrie underwood,2011
4682,83,in the dark,dev,2011
4683,84,backseat,new boyz featuring the cataracs and dev,2011
4684,85,headlines,drake,2011
4685,86,best thing i never had,beyonce,2011
4686,87,dont wanna go home,jason derulo,2011
4687,88,where them girls at,david guetta featuring flo rida and nicki minaj,2011
4688,89,she aint you,chris brown,2011
4689,90,take a back road,rodney atkins,2011
4690,91,please dont go,mike posner,2011
4691,92,sure thing,miguel,2011
4692,93,price tag,jessie j featuring bob,2011
4693,94,god gave me you,blake shelton,2011
4694,95,she will,lil wayne featuring drake,2011
4695,96,are you gonna kiss me or not,thompson square,2011
4696,97,animal,neon trees,2011
4697,98,you and tequila,kenny chesney featuring grace potter,2011
4698,99,colder weather,zac brown band,2011
4699,100,my last,big sean featuring chris brown,2011
4700,1,somebody that i used to know,gotye featuring kimbra,2012
4701,2,call me maybe,carly rae jepsen,2012
4702,3,we are young,fun featuring janelle mon'ae,2012
4703,4,payphone,maroon 5 featuring wiz khalifa,2012
4704,5,lights,ellie goulding,2012
4705,6,glad you came,the wanted,2012
4706,7,stronger what doesnt kill you,kelly clarkson,2012
4707,8,we found love,rihanna featuring calvin harris,2012
4708,9,starships,nicki minaj,2012
4709,10,what makes you beautiful,one direction,2012
4710,11,wild ones,flo rida featuring sia,2012
4711,12,set fire to the rain,adele,2012
4712,13,sexy and i know it,lmfao,2012
4713,14,some nights,fun,2012
4714,15,wide awake,katy perry,2012
4715,16,good feeling,flo rida,2012
4716,17,whistle,flo rida,2012
4717,18,one more night,maroon 5,2012
4718,19,drive by,train,2012
4719,20,the motto,drake featuring lil wayne,2012
4720,21,where have you been,rihanna,2012
4721,22,everybody talks,neon trees,2012
4722,23,take care,drake featuring rihanna,2012
4723,24,titanium,david guetta featuring sia,2012
4724,25,i wont give up,jason mraz,2012
4725,26,it will rain,bruno mars,2012
4726,27,mercy,kanye west big sean pusha t and 2 chainz,2012
4727,28,boyfriend,justin bieber,2012
4728,29,party rock anthem,lmfao featuring lauren bennett and goonrock,2012
4729,30,too close,alex clare,2012
4730,31,part of me,katy perry,2012
